condition_id,run_index,spread_size,spread_speed,peak_infection,peak_step,duration,intervention_first_step
0,0,54627,5,43961,5,106,
0,1,64983,5,51853,5,111,
0,2,59358,5,46622,5,119,
0,3,64354,5,52196,5,108,
0,4,64173,5,52508,5,130,
0,5,71871,5,58033,5,110,
0,6,69222,5,56390,5,110,
0,7,60480,5,48590,5,101,
0,8,57308,5,46072,5,105,
0,9,60060,5,49164,5,108,
0,10,63338,5,51276,5,108,
0,11,65033,5,51721,5,105,
0,12,63303,6,50595,6,110,
0,13,61229,5,49101,5,104,
0,14,66164,5,50778,6,110,
0,15,65583,5,53658,5,106,
0,16,62565,5,48816,5,112,
0,17,65593,5,53670,5,117,
0,18,66028,5,54416,5,111,
0,19,65190,5,52277,5,125,
0,20,69645,6,54694,6,109,
0,21,69487,5,55663,5,104,
0,22,66946,5,54025,5,112,
0,23,60860,5,49349,5,105,
0,24,63343,5,51308,5,101,
0,25,67760,5,54941,5,128,
0,26,63010,5,51273,5,122,
0,27,64524,5,52347,5,107,
0,28,64186,5,51500,5,123,
0,29,66397,5,53453,5,153,
0,30,65269,5,53478,5,121,
0,31,59674,5,48077,5,110,
0,32,61274,5,50556,5,132,
0,33,60910,6,47427,6,113,
0,34,66382,5,54407,5,122,
0,35,65922,5,52831,5,109,
0,36,63747,5,51628,5,104,
0,37,62430,5,50604,5,132,
0,38,67750,5,54653,5,118,
0,39,62607,5,51257,5,100,
0,40,56178,5,45623,5,114,
0,41,63036,5,50222,5,117,
0,42,61957,5,50014,5,102,
0,43,63432,6,49817,6,105,
0,44,57489,5,46965,5,117,
0,45,72250,5,58010,5,96,
0,46,64312,5,50860,5,110,
0,47,66784,5,54451,5,131,
0,48,68641,5,56895,5,127,
0,49,61005,5,49154,5,119,
